timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,Latency,IdleTime
1449844353005,961,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-38,text,true,6473,961,0
1449844352945,1030,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-36,text,true,4070,1030,0
1449844352916,1066,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,3455,1066,0
1449844353030,954,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-34,text,true,5239,954,0
1449844353022,963,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-32,text,true,3811,962,0
1449844353043,969,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-33,text,true,8142,969,0
1449844352988,1076,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,3998,1076,0
1449844353010,1060,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,3400,1060,0
1449844353037,1079,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,4037,1079,0
1449844353024,1120,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,5845,1120,0
1449844353044,1125,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,6342,1125,0
1449844352960,1214,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,4331,1214,0
1449844353034,1142,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,6660,1142,0
1449844352947,1242,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-37,text,true,9557,1241,0
1449844352945,1255,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,4140,1255,0
1449844357569,402,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,3843,402,0
1449844357638,346,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,3279,346,0
1449844357645,345,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-29,text,true,4561,345,0
1449844357599,401,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-35,text,true,4225,401,0
1449844357531,471,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,6396,471,0
1449844357565,449,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-16,text,true,4591,447,0
1449844357533,482,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-23,text,true,3909,482,0
1449844357620,400,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-28,text,true,4228,400,0
1449844357564,457,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,5182,457,0
1449844357672,360,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-43,text,true,4790,359,0
1449844357633,526,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,3701,526,0
1449844357605,578,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-36,text,true,4786,578,0
1449844357540,687,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,6051,687,0
1449844357568,671,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-44,text,true,6671,671,0
1449844357606,641,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-14,text,true,3704,641,0
1449844357525,728,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-19,text,true,3584,728,0
1449844357578,680,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-46,text,true,4172,680,0
1449844357576,683,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-38,text,true,4174,683,0
1449844357604,662,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-32,text,true,3618,662,0
1449844357605,677,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-30,text,true,6874,677,0
1449844357623,745,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,5604,744,0
1449844357565,833,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,5749,832,0
1449844357643,784,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-40,text,true,4513,784,0
1449844357659,776,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-45,text,true,3683,776,0
1449844357638,806,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-7,text,true,5208,806,0
1449844357642,813,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,4105,813,0
1449844357622,840,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-11,text,true,3801,840,0
1449844357671,810,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,2379,810,0
1449844357620,867,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-37,text,true,5916,867,0
1449844357565,956,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,7372,956,0
1449844357599,932,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-31,text,true,4057,932,0
1449844357642,953,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-4,text,true,4220,953,0
1449844357613,1005,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-34,text,true,5288,1005,0
1449844357631,999,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-42,text,true,4552,999,0
1449844357538,1150,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,4219,1150,0
1449844357613,1085,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-27,text,true,4115,1084,0
1449844357616,1090,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,5980,1090,0
1449844357657,1059,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,6373,1059,0
1449844357671,1044,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-39,text,true,4616,1044,0
1449844357600,1128,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,5450,1128,0
1449844357576,1187,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,5971,1187,0
1449844357637,1130,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-21,text,true,3649,1130,0
1449844357667,1134,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-15,text,true,7011,1134,0
1449844357579,1277,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,5876,1277,0
1449844357616,1245,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-33,text,true,3645,1245,0
1449844357592,1280,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-41,text,true,3447,1280,0
1449844362235,459,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-17,text,true,5877,459,0
1449844362343,342,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-28,text,true,5890,341,0
1449844362303,382,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-25,text,true,3988,381,0
1449844362317,381,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-22,text,true,4205,381,0
1449844362217,482,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-18,text,true,6190,482,0
1449844362216,504,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-51,text,true,6880,504,0
1449844362194,531,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-20,text,true,10567,530,0
1449844362334,424,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-13,text,true,6193,424,0
1449844362367,393,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-35,text,true,6585,393,0
1449844362369,393,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-33,text,true,7774,392,0
1449844362255,606,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-3,text,true,4359,606,0
1449844362345,519,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-47,text,true,4464,518,0
1449844362236,643,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-29,text,true,2252,643,0
1449844362364,539,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-9,text,true,4596,539,0
1449844362315,590,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-1,text,true,7111,590,0
1449844362353,555,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-46,text,true,5871,555,0
1449844362260,663,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-26,text,true,4777,663,0
1449844362348,585,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-45,text,true,6069,585,0
1449844362196,752,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-5,text,true,5225,752,0
1449844362282,681,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-38,text,true,7196,681,0
1449844362284,773,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-24,text,true,5401,773,0
1449844362237,826,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-10,text,true,5822,826,0
1449844362334,738,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-8,text,true,9074,737,0
1449844362291,798,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-27,text,true,4290,798,0
1449844362279,818,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-50,text,true,5426,818,0
1449844362276,823,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-43,text,true,4394,823,0
1449844362328,778,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-32,text,true,5054,778,0
1449844362347,760,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-36,text,true,5700,760,0
1449844362305,834,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-6,text,true,4918,834,0
1449844362215,926,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-2,text,true,4273,926,0
1449844362315,904,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-34,text,true,2753,904,0
1449844362211,1030,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-49,text,true,3294,1030,0
1449844362281,962,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-42,text,true,2501,962,0
1449844362358,891,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-48,text,true,6028,891,0
1449844362345,963,POST /e-entity/freme-ner/documents,200,OK,Thread Group 1-12,text,true,6832,962,0
